Threshold [mV] - 0 (yellow);Frequency  [kHz] - 0 (yellow);Threshold [mV] - 1 (green);Frequency  [kHz] - 1 (green);Threshold [mV] - 2 (red);Frequency  [kHz] - 2 (red);Threshold [mV] - 3 (light blue);Frequency  [kHz] - 3 (light blue);Threshold [mV] - 4 (light yellow);Frequency  [kHz] - 4 (light yellow);Threshold [mV] - 5 (pink);Frequency  [kHz] - 5 (pink)
-1;62,5895;-1;65,535;-1;0,421933;-1;65,535;-1;65,535;-1;65,535
-2;2,40817;-2;65,535;-2;0,248167;-2;65,535;-2;65,535;-2;65,535
-3;0,819367;-3;65,535;-3;0,170433;-3;14,2888;-3;65,535;-3;65,535
-4;0,563333;-4;65,3163;-4;0,0392333;-4;1,8587;-4;65,535;-4;59,8072
-5;0,424533;-5;3,30837;-5;0,00166667;-5;1,54197;-5;65,535;-5;3,363
-6;0,352333;-6;2,8067;-6;0,000666667;-6;1,1045;-6;9,48143;-6;2,9314
-7;0,0519667;-7;2,42923;-7;0,000566667;-7;0,853767;-7;4,59393;-7;2,4826
-8;0,00766667;-8;1,8798;-8;6,67E-05;-8;0,743467;-8;4,17097;-8;1,87853
-9;0,0046;-9;1,4083;-10;6,67E-05;-9;0,349033;-9;3,7252;-9;1,43523
-10;0,00336667;-10;1,23597;;;-10;0,0256333;-10;2,9741;-10;1,28303
-11;0,00203333;-11;0,986233;;;-11;0,0204333;-11;2,24343;-11;0,8721
-12;0,000166667;-12;0,105733;;;-12;0,0148667;-12;1,98467;-12;0,0740667
-13;6,67E-05;-13;0,0528;;;-13;0,0103;-13;1,65973;-13;0,0537333
-14;6,67E-05;-14;0,0455667;;;-14;0,00736667;-14;0,2918;-14;0,0425667
-15;1,00E-04;-15;0,0351667;;;-15;0,0009;-15;0,121833;-15;0,0349
;;-16;0,0253;;;-16;0,000466667;-16;0,106367;-16;0,0253333
;;-17;0,0225;;;-17;0,000333333;-17;0,0907333;-17;0,0193333
;;-18;0,0048;;;-18;0,000166667;-18;0,0720667;-18;0,00276667
;;-19;0,001;;;-19;0,000166667;-19;0,0535;-19;0,00123333
;;-20;0,00136667;;;;;-20;0,0393;-20;0,0008
;;;;;;;;-21;0,00706667;-21;0,00106667
;;;;;;;;-22;0,00363333;-22;0,000633333
;;;;;;;;-23;0,00386667;-23;0,0003
;;;;;;;;-24;0,00283333;-25;6,67E-05
;;;;;;;;-25;0,0019;;
;;;;;;;;-26;0,00143333;;
;;;;;;;;-27;0,000666667;;
;;;;;;;;-28;0,0007;;
;;;;;;;;-29;1,00E-04;;
;;;;;;;;-30;1,00E-04;;
